Player,Pos,Squad,Age,MP,Min,Gls,Ast,xG,SoT
Willy Boly,DF,Nott'ham Forest,33.0,6,150,0,0,0.1,1
Moïse Bombito,DF,Nice,24.0,27,2192,0,0,0.7,1
Warren Bondo,MF,Monza,20.0,20,1618,0,0,0.4,1
Warren Bondo,MF,Milan,20.0,4,162,0,0,0.0,1
Victor Boniface,FW,Leverkusen,23.0,19,1008,8,1,7.8,17
Kevin Bonifazi,DF,Lecce,28.0,3,65,0,0,0.0,0
Ange-Yoan Bonny,FW,Parma,20.0,37,2529,6,4,9.4,19
Sebastiaan Bornauw,DF,Wolfsburg,25.0,15,788,2,1,1.2,3
Sven Botman,DF,Newcastle Utd,24.0,8,412,0,0,0.5,2
Saïmon Bouabré,"MF,FW",Monaco,18.0,3,97,0,0,0.0,0
Ayyoub Bouaddi,MF,Lille,16.0,24,1151,0,1,0.1,1
Badredine Bouanani,"MF,FW",Nice,19.0,26,1099,3,3,2.7,14
